symbol,composite_score,quality_score,growth_score,value_score,momentum_score,positioning_score,stability_score,score_date
WPM,52.6876795570536,54.11063667708847,51.95721393330282,48.82189237561237,57.75582257037597,49.419265901616846,54.06124588432512,2026-02-08
REVG,52.68494741101414,52.17521928949831,53.852944654458355,50.01381586894206,53.376993144899565,54.18610946449811,52.50460204378845,2026-02-08
ASST,52.67787311984262,47.944900268859605,49.562248218544106,50.13261322798838,84.56939821758812,41.14939342039512,42.708685365680395,2026-02-08
CADE$A,52.671303408148795,,54.713567115977256,,50.858770156171296,,52.44157295229783,2026-02-08
NXT,52.6700291864278,52.24449416838056,51.215704697389896,50.54581542268841,57.00374386104574,53.82809043335535,51.18232653570682,2026-02-08
FCX,52.669826672097,51.43098390677701,55.380422829143825,50.51943024378367,56.14921181199215,51.463957328200834,51.07495391268453,2026-02-08
MNST,52.650939624806874,52.77995395683167,50.56418116646961,50.488610344025595,52.26805067684571,53.76544244108733,56.03939916358135,2026-02-08
PAAS,52.64589706495733,51.73096685995645,52.50676503844882,50.023732149043255,61.045307866788676,48.54534306303135,52.02326741247544,2026-02-08
AAUC,52.64457190764074,51.2698284531416,51.90544044968085,49.97364306225462,63.58999838017443,49.955589512589505,49.17293158800341,2026-02-08
SPMC,52.63907267020816,51.55252201746213,,49.96758225193953,48.06768424484558,59.90650463274982,53.70107020404373,2026-02-08
MAMK,52.62873499057238,50.1745430285493,50.63245898541992,48.55322980497266,68.57530333867207,52.813784187886185,45.02309059793416,2026-02-08
FNV,52.62417701866772,55.440565884269354,50.213822312016454,48.40171152003265,55.53049262247471,51.65684919658082,54.501620576632334,2026-02-08
ATRO,52.62368126502639,50.1056779430946,51.50857810805536,49.822208267539416,61.42399317196466,52.030273046390285,50.85135705311404,2026-02-08
MIRM,52.61178051201681,49.28114314351586,50.50659554671819,52.01052527723205,56.24243050822866,54.85762995735873,52.77235863904735,2026-02-08
ABVX,52.6076572580006,47.111158922291764,49.53899711698003,50.45773491597626,69.05570914478443,49.86383187073816,49.61851157723294,2026-02-08
AMTM,52.606293549599286,50.214682842355394,53.690840849593954,49.4435251139555,56.0101768360757,53.97304557953922,52.305490076075955,2026-02-08
PCSC,52.60072674883902,49.548236449980664,,50.78606273517716,52.79331746365653,54.960580876950274,54.9154362184305,2026-02-08
DYOR,52.57285152935269,48.62109275543338,,,,,56.524610303272006,2026-02-08
SNEX,52.57240766175769,54.33856554875574,53.83761029971949,50.160910523895005,51.80427742052945,52.30458733608086,52.98849484156556,2026-02-08
JBK,52.56624588604705,,,,49.26935883337107,,55.86313293872303,2026-02-08
ATMP,52.55764453568447,,,,50.515024514069964,,54.60026455729897,2026-02-08
LEGT,52.553446755362174,49.26879072889403,,50.75361807934902,49.25873926653615,56.51694154857636,56.9691441534553,2026-02-08
MG,52.531941360207405,49.923419761417385,52.59240718676727,50.720411882893266,54.28501217542085,55.683655633614904,51.98674152113077,2026-02-08
IMO,52.52794044317223,52.209404331770756,51.00300528451921,50.11523484943441,51.95349835689237,55.37528711579175,54.511212720624854,2026-02-08
AG,52.52403932040264,50.749816867278376,51.50285365711578,49.03464810963511,66.98805143037595,45.7446664075031,51.124199450507525,2026-02-08
B,52.52069446573442,52.493861788192994,50.874030508565006,50.2587432177246,59.63284664010254,48.026769019772814,53.83791562004857,2026-02-08
ACMR,52.51840911397431,50.546359232558736,51.81419594712975,50.01353108133918,62.00048019303489,52.284861288246546,48.45102694153675,2026-02-08
